id,customerNumber,name,email,phone,address,city,state,postalCode,country,creditLimit,paymentTerms,customerGroup,isActive
72f5b432-d75b-47de-a702-af5766c139ab,CUST-0001,Acme Corporation,orders@acmecorporation.com,+1-962-187-5940,118 River Rd,Dubai,,00000,UAE,81987.03,NET60,DOMESTIC,true
37a7a6be-5b9e-4038-bb16-75500ce74640,CUST-0002,TechStart India,orders@techstartindia.com,+1-211-719-5659,217 Station Rd,Houston,TX,77001,USA,253429.05,NET30,INTERCOMPANY,true
83c5b079-d633-414a-b375-2d508f3089ac,CUST-0003,Global Traders Ltd,orders@globaltradersltd.com,+1-967-303-8009,52 Oak St,Boston,MA,02101,USA,112284.21,NET60,DOMESTIC,true
1d8d86e6-c047-4a9f-a2ee-960ab148be19,CUST-0004,Sunrise Retail,orders@sunriseretail.com,+1-707-303-5231,496 Enterprise Ln,Bangalore,Karnataka,560001,India,298834.9,NET30,DOMESTIC,true
1ec25658-f7a5-4f8c-968e-c4252148ee5d,CUST-0005,Pacific Imports Co,orders@pacificimportsco.com,+1-387-355-7736,225 Main St,Los Angeles,CA,90001,USA,442462.71,NET60,DOMESTIC,true
05c0deef-1297-41f8-ac63-42ba27e45f34,CUST-0006,Delta Systems,orders@deltasystems.com,+1-982-260-4833,377 Station Rd,Mumbai,Maharashtra,400001,India,486530.63,NET30,DOMESTIC,true
912fdc8a-b1b4-4642-96ce-14002d68546b,CUST-0007,Infoway Solutions,orders@infowaysolutions.com,+1-850-285-9675,474 King St,London,,EC1A 1BB,UK,363035.38,NET45,EXPORT,true
80362182-5357-489f-a3d9-bb50369dc679,CUST-0008,Nordic Supplies AB,orders@nordicsuppliesab.com,+1-656-803-1216,537 Enterprise Ln,Toronto,ON,M5A 1A1,Canada,247308.06,NET45,DOMESTIC,true
3c5ae9b9-1a54-4457-a999-b70388f62882,CUST-0009,MegaTech Inc,orders@megatechinc.com,+1-570-731-8140,213 King St,New York,NY,10001,USA,326276.75,NET30,DOMESTIC,true
3941971d-8354-4750-b19f-258733f9ada8,CUST-0010,BrightPath Labs,orders@brightpathlabs.com,+1-791-637-7924,626 Tech Park Rd,Singapore,,048583,Singapore,125642.29,NET60,DOMESTIC,true
