id,paymentNumber,invoiceId,customerId,paymentDate,amount,currency,paymentMethod,referenceNumber,status
29586e27-2d8a-4afe-b282-93d38fca8585,PAY-0001,aa413958-e571-4aff-9630-69729cb7bddb,42580fca-0e8a-4b72-8342-b7c741190aa7,2025-08-10,44156.38,USD,BANK_TRANSFER,REF46496022,REVERSED
18539166-7df2-4041-bd3a-826b8878a74d,PAY-0002,86056761-b2c8-4aec-bec7-140bb405b796,83c5b079-d633-414a-b375-2d508f3089ac,2024-09-28,54874.87,USD,CASH,REF73899483,CLEARED
1f911ba5-7c1f-4a0c-a058-3be969640d77,PAY-0003,960ee502-26a0-4452-ae83-6e28f3bbdbea,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2024-03-31,2554.53,USD,CREDIT_CARD,REF68807009,CLEARED
9166aeec-f7d8-49c6-b17a-ab6d77f4f19e,PAY-0004,d348c7ce-1c37-4f86-9a30-8c30a22e459e,37a7a6be-5b9e-4038-bb16-75500ce74640,2024-05-12,45114,USD,BANK_TRANSFER,REF82260020,CLEARED
fcff7cc7-7081-4729-ba3a-3b9caeae5729,PAY-0005,2283ecc8-a908-4ff1-8e62-171dfb899f3f,9bdd26ed-c368-43c7-89aa-dc3f798ea028,2024-12-19,17789.06,USD,CREDIT_CARD,REF50455983,CLEARED
5d7e25d0-ebaf-41f1-8d35-598ef81752c4,PAY-0006,53a7fec9-b24e-439b-8cb6-6154700cafb8,ca3fcf82-2d0d-4d30-bd5b-17ffb8afce7c,2024-06-23,93745.16,USD,CREDIT_CARD,REF30047380,CLEARED
f0253557-187a-4da4-bb19-4cb35d26150f,PAY-0007,3987f6dd-1aa4-4a8e-bbc0-4e36e2bca7d6,02ee2de6-b631-42ad-9200-bd5f10022153,2025-03-06,18645.19,USD,CREDIT_CARD,REF80304785,CLEARED
edbd56e3-ecdf-4894-bc14-7279d213fe0d,PAY-0008,957e9810-112d-4330-96ce-f4296d4a19fd,3b06f677-2b64-4548-85d8-17ce13f3e030,2025-02-06,20477.01,USD,CREDIT_CARD,REF29083795,CLEARED
d5ce34b2-67cb-499c-bde8-0fdc995c8cbf,PAY-0009,e7b908dc-f216-4648-99dc-54eb973c2bfa,912fdc8a-b1b4-4642-96ce-14002d68546b,2025-04-05,76536.04,USD,CASH,REF21900121,CLEARED
6b6b511f-ee7b-4c6c-8f6b-9b695e7bd4e3,PAY-0010,fa4cf63b-af7d-4481-9804-fc6e0cd37975,b3c1c861-53a8-42d1-9896-d9f56201110a,2025-02-15,5619.53,USD,BANK_TRANSFER,REF68759885,CLEARED
0dc4a05a-9a77-48ce-b653-e0f47cae2781,PAY-0011,a95211e0-8e48-4097-8d68-92b543c5b060,42580fca-0e8a-4b72-8342-b7c741190aa7,2024-05-11,11781.54,USD,CHECK,REF27011278,CLEARED
349f8041-9994-41ea-952b-04d37d119bb8,PAY-0012,30e708a6-b8a5-4627-a97d-02be4c81250f,caf3f907-45cd-46ed-b913-b2e0a69d130d,2024-10-31,83577.42,USD,CREDIT_CARD,REF80248177,CLEARED
2a7dd564-d4c9-489f-b07f-69a3d8f5cf79,PAY-0013,3048c7f5-a5ce-418a-943d-67314cfa5672,8c602997-9b9f-4dcb-b137-a3cb262691ec,2025-03-13,32082.19,USD,BANK_TRANSFER,REF50716833,CLEARED
