id,orderNumber,customerId,orderDate,requestedDeliveryDate,salesOrg,distributionChannel,division,totalNetAmount,totalTaxAmount,totalGrossAmount,currency,status,paymentTerms
23188271-3199-4856-9a2e-d7ebb79d9c9f,SO-0001,42580fca-0e8a-4b72-8342-b7c741190aa7,2025-05-28,2025-07-26,2000,10,01,54232.84,9761.91,63994.75,USD,COMPLETED,NET15
e129d681-d060-4cb8-a485-655b2e3c846d,SO-0002,83c5b079-d633-414a-b375-2d508f3089ac,2024-07-13,2024-08-20,3000,10,00,46504.13,8370.74,54874.87,USD,COMPLETED,NET60
9462baee-559e-416a-a8a0-bd3e6e83b43d,SO-0003,26d4b373-bde8-4991-8e6f-e0c3f4abd219,2024-01-29,2024-03-26,1000,10,02,2164.86,389.67,2554.53,USD,COMPLETED,NET60
13ca5d39-2cdc-4a66-a9e8-09fdd3414389,SO-0004,42580fca-0e8a-4b72-8342-b7c741190aa7,2025-02-10,2025-04-10,3000,30,02,51826.01,9328.68,61154.69,USD,DRAFT,NET15
59ad9832-3312-47c1-9474-884f7b656747,SO-0005,37a7a6be-5b9e-4038-bb16-75500ce74640,2024-03-12,2024-03-31,3000,20,01,38232.2,6881.8,45114,USD,COMPLETED,NET30
87f3dbc5-6bb2-4860-af34-1e06e9c97367,SO-0006,1ec25658-f7a5-4f8c-968e-c4252148ee5d,2024-04-14,2024-06-01,2000,10,02,39997.77,7199.6,47197.37,USD,CANCELLED,NET60
b44c8608-efa8-4943-9808-9b00d365172f,SO-0007,3b06f677-2b64-4548-85d8-17ce13f3e030,2024-07-31,2024-08-08,3000,30,01,10742.88,1933.72,12676.6,USD,IN_DELIVERY,NET45
58cf0256-e360-4b2c-8123-5a19ff2a09d4,SO-0008,71910904-e940-496b-8d38-f72d0ae26636,2024-04-25,2024-06-18,2000,20,02,41142.58,7405.66,48548.24,USD,IN_DELIVERY,NET60
4952e22e-7c4f-4076-bb3c-fc49aa6ff299,SO-0009,9bdd26ed-c368-43c7-89aa-dc3f798ea028,2024-12-03,2024-12-13,3000,30,01,41876.31,7537.74,49414.05,USD,COMPLETED,NET45
65194fdf-6950-450c-a25f-54431fd6d1df,SO-0010,80362182-5357-489f-a3d9-bb50369dc679,2024-02-02,2024-03-20,2000,20,01,33837.93,6090.83,39928.76,USD,IN_DELIVERY,NET45
