id,salesOrderId,itemNumber,materialId,description,quantity,unitOfMeasure,unitPrice,netAmount,taxAmount,currency,status
9dc3881d-c702-46e0-9392-01a7ba92b691,23188271-3199-4856-9a2e-d7ebb79d9c9f,10,19d60529-c330-4086-a555-1df208027bf5,Timing Belt Kit,40.05,EA,656.57,26295.63,4733.21,USD,DELIVERED
7436a53e-8c29-42aa-bf5b-239c90b78d86,23188271-3199-4856-9a2e-d7ebb79d9c9f,20,8212680e-288f-4a8e-8c15-7a6d69b07ed9,Copper Wire Spool,64.84,M,1584.91,102765.56,18497.8,USD,DELIVERED
1acaa66a-077a-402e-82f4-6bdd1ad5a824,23188271-3199-4856-9a2e-d7ebb79d9c9f,30,b2e3333f-7123-4a91-8a57-9180e07b840b,Void Fill Paper,83.25,EA,793.39,66049.72,11888.95,USD,DELIVERED
85a04dfd-4483-4d80-a11a-0dcf6fd020f3,e129d681-d060-4cb8-a485-655b2e3c846d,10,7bfcf829-7d62-4fc6-9c9c-fd9998125eae,Fuel Pump Electric,56.88,EA,1419.85,80761.07,14536.99,USD,DELIVERED
9f8ba660-fad1-4a74-bce4-3999a732d84b,9462baee-559e-416a-a8a0-bd3e6e83b43d,10,71f83dec-30ab-4261-95c1-9f924d4db3d6,Conveyor Belt 10m,57.24,EA,1141.57,65343.47,11761.82,USD,DELIVERED
1a8aaa0e-5b95-4cc9-ba81-aec3a7468a4b,9462baee-559e-416a-a8a0-bd3e6e83b43d,20,88e1c06f-fae7-41b0-88e2-643a184a04b7,RAM Module 16GB,29.49,EA,94.27,2780.02,500.4,USD,DELIVERED
fd1e6bdd-2235-45b1-9cea-20dab70f60f4,13ca5d39-2cdc-4a66-a9e8-09fdd3414389,10,7bfcf829-7d62-4fc6-9c9c-fd9998125eae,Fuel Pump Electric,25.38,EA,990.65,25142.7,4525.69,USD,OPEN
60275a6e-89e4-46f2-86bd-f0988fa1ff9a,13ca5d39-2cdc-4a66-a9e8-09fdd3414389,20,903b109a-a48e-4805-bf97-eeb56a6e5694,Pneumatic Cylinder,16.55,EA,359.97,5957.5,1072.35,USD,OPEN
c45fdb5f-eee7-4ad7-b480-f7fefeeb4008,13ca5d39-2cdc-4a66-a9e8-09fdd3414389,30,1856654a-a340-4b51-b787-39d4a6aac92e,Foam Insert Custom,64.82,EA,269.76,17485.84,3147.45,USD,OPEN
eada3a20-31f4-4d39-afa9-f0264f6afcbe,13ca5d39-2cdc-4a66-a9e8-09fdd3414389,40,1669eed6-fd27-45e4-bbea-db85a5a0ad3c,Gear Box Assembly,97.64,EA,960,93734.4,16872.19,USD,OPEN
9fe08007-d0cd-401d-b4ca-f9cc1e0c8c1c,59ad9832-3312-47c1-9474-884f7b656747,10,fa2319d7-7450-4a94-8ca2-177998768fce,Air Compressor Unit,41.93,EA,1062.06,44532.18,8015.79,USD,DELIVERED
264816c7-e297-440b-bd6b-f57da100084f,87f3dbc5-6bb2-4860-af34-1e06e9c97367,10,4863e377-26a3-4feb-9532-ffd35c4228ba,Standing Desk Frame,36.86,EA,609.83,22478.33,4046.1,USD,CANCELLED
2d3a7bbd-b3cd-4c56-9631-0b9c217ff587,87f3dbc5-6bb2-4860-af34-1e06e9c97367,20,2d2943ca-b821-41dc-bace-076cf9cef22a,Glass Panel Tempered,89.78,M,1495.78,134291.13,24172.4,USD,CANCELLED
c1fd0334-5f7c-45af-8499-dbbe872f0d1e,87f3dbc5-6bb2-4860-af34-1e06e9c97367,30,19d60529-c330-4086-a555-1df208027bf5,Timing Belt Kit,58.14,EA,655.34,38101.47,6858.26,USD,CANCELLED
1b7e6908-4173-4626-bb3a-6c8070cc1a25,87f3dbc5-6bb2-4860-af34-1e06e9c97367,40,1e49385d-51c3-40ef-9477-6672cdfd3a08,Desiccant Pack 10g,97.29,EA,207.8,20216.86,3639.03,USD,CANCELLED
7472b762-cdef-4032-b45e-35894400b360,b44c8608-efa8-4943-9808-9b00d365172f,10,f9fd9f2b-bd7c-403d-9288-601ec002fdeb,Oil Filter Standard,51.85,EA,314.17,16289.71,2932.15,USD,DELIVERED
d566fc44-5e5e-44d3-a3a5-bcb077f93815,b44c8608-efa8-4943-9808-9b00d365172f,20,ef19e1a6-fbf1-4f06-b051-90eaf1e64f9b,Cotton Fabric Roll 50m,49,M,523.62,25657.38,4618.33,USD,DELIVERED
f86046ef-6839-4715-a812-63eec425befe,58cf0256-e360-4b2c-8123-5a19ff2a09d4,10,72399bd0-959e-41dd-a677-1ec17f3af41d,SSD Storage Drive 1TB,18.18,EA,472.19,8584.41,1545.19,USD,DELIVERED
9682e48c-69dd-42ae-a45c-b09885c3ac88,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,10,2d2943ca-b821-41dc-bace-076cf9cef22a,Glass Panel Tempered,87.88,M,1645.28,144587.21,26025.7,USD,DELIVERED
f249955b-6c43-4e69-a2e0-1af8249a774a,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,20,9d03b734-5ff9-4578-98d6-66622cee846e,Cardboard Box 30x30,56.26,EA,1489.29,83787.46,15081.74,USD,DELIVERED
f700b750-dfaa-4ef9-a0df-db24a5d368dc,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,30,45bfc536-a3fb-4051-aed1-77ba0c422b3c,Cooling Fan Assembly,73.77,EA,585,43155.45,7767.98,USD,DELIVERED
0bc7045e-27ac-40d3-b107-50de01f2bf6b,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,40,cf6a321a-ae89-4ee5-9ff3-2e826e06e09c,Server Rack Unit,91.47,EA,1879.02,171873.96,30937.31,USD,DELIVERED
a572657f-94f7-456e-9de5-0f46951a3c99,65194fdf-6950-450c-a25f-54431fd6d1df,10,f77d83ce-223c-49db-abe6-1ca3995e1d41,Binding Machine,12.58,EA,1065.27,13401.1,2412.2,USD,DELIVERED
0e920c96-83f6-4198-a451-809df879635f,65194fdf-6950-450c-a25f-54431fd6d1df,20,eba730ba-f46f-4ecf-b893-63892637cf74,Filing Cabinet 4-Drawer,92.76,EA,667.48,61915.44,11144.78,USD,PARTIALLY_DELIVERED
387bbf5f-4648-4ceb-a2b9-7c73741c650a,65194fdf-6950-450c-a25f-54431fd6d1df,30,be1d466d-3f31-440e-b94d-6a8e92106328,Saline Solution IV,22.59,EA,1714.34,38726.94,6970.85,USD,DELIVERED
446c680c-d8e2-4c59-bc17-04f61f94ea08,3034bde8-1a63-4b1d-93e9-b47fd3237460,10,ce201345-9fac-4c1b-bf5d-7469a536e0d8,Vitamin C Granules,13.99,EA,2119.71,29654.74,5337.85,USD,OPEN
0927cef1-2b1e-4540-b648-f67457ca367c,3034bde8-1a63-4b1d-93e9-b47fd3237460,20,f77d83ce-223c-49db-abe6-1ca3995e1d41,Binding Machine,54.13,EA,1423.7,77064.88,13871.68,USD,OPEN
11efecc6-9ab9-4eb5-a28b-5c6f28312369,3034bde8-1a63-4b1d-93e9-b47fd3237460,30,5a80ee4f-c974-4014-942b-4f577beed7d8,PVC Pipe 4-inch,86.74,M,1489.57,129205.3,23256.95,USD,OPEN
62c16af1-0a4a-4099-9a37-1de8b0c5b381,3034bde8-1a63-4b1d-93e9-b47fd3237460,40,45bfc536-a3fb-4051-aed1-77ba0c422b3c,Cooling Fan Assembly,93.5,EA,543.73,50838.76,9150.98,USD,OPEN
588b2bdc-c748-46a8-ad67-d2a53eb9c521,15b8677c-aff4-41ff-b7bb-2793092f3963,10,5a80ee4f-c974-4014-942b-4f577beed7d8,PVC Pipe 4-inch,30.85,M,2141.1,66052.93,11889.53,USD,DELIVERED
3a575c2b-01cc-4a25-8337-8fe0784a5a28,15b8677c-aff4-41ff-b7bb-2793092f3963,20,05663a58-f417-4410-9919-81dc296bc9de,Yeast Active 500g,70.26,KG,866.54,60883.1,10958.96,USD,DELIVERED
