id,salesOrderItemId,conditionType,conditionValue,currency,isPercentage,conditionBase,conditionAmount
cdc173c6-ca10-41ea-a972-cdc802c59ddc,9dc3881d-c702-46e0-9392-01a7ba92b691,PR00,656.57,USD,false,40.05,26295.63
cf7811b2-fa3e-464d-ae65-383f548019bc,9dc3881d-c702-46e0-9392-01a7ba92b691,K004,7.72,USD,true,26295.63,-2030.02
292c5ede-138f-4c0e-b297-7d7e0bbec406,9dc3881d-c702-46e0-9392-01a7ba92b691,MWST,18,USD,true,26295.63,4733.21
60052d0f-58bb-41d3-801b-847869c878ee,7436a53e-8c29-42aa-bf5b-239c90b78d86,PR00,1584.91,USD,false,64.84,102765.56
547f824f-5a93-4e6d-a318-f49fe9a5d502,7436a53e-8c29-42aa-bf5b-239c90b78d86,K004,9.39,USD,true,102765.56,-9649.69
8fe5689b-38c9-4830-ab4a-7da642b89434,7436a53e-8c29-42aa-bf5b-239c90b78d86,MWST,18,USD,true,102765.56,18497.8
45f8863a-66aa-417a-947c-7ade4cbf2ba3,1acaa66a-077a-402e-82f4-6bdd1ad5a824,PR00,793.39,USD,false,83.25,66049.72
d5fbdda8-c1b5-46b8-9746-08c024b520a3,1acaa66a-077a-402e-82f4-6bdd1ad5a824,K004,2.95,USD,true,66049.72,-1948.47
61b52ed7-7e77-40e1-a5d4-87007f360ae5,1acaa66a-077a-402e-82f4-6bdd1ad5a824,MWST,18,USD,true,66049.72,11888.95
830adf58-57d8-494a-9ac6-2ea22bfe6e24,85a04dfd-4483-4d80-a11a-0dcf6fd020f3,PR00,1419.85,USD,false,56.88,80761.07
bb80275f-8ed1-45a1-a4db-37b5c6e2ee14,85a04dfd-4483-4d80-a11a-0dcf6fd020f3,K004,9.03,USD,true,80761.07,-7292.72
a6aad00d-17d1-4b99-b860-c0616317b88b,85a04dfd-4483-4d80-a11a-0dcf6fd020f3,MWST,18,USD,true,80761.07,14536.99
