id,deliveryNumber,salesOrderId,deliveryDate,shippingPoint,shippingAddress,trackingNumber,carrier,status,totalWeight,weightUnit
b56f3ac3-49d2-43e1-9289-6ca7eff2a7f0,DL-0001,23188271-3199-4856-9a2e-d7ebb79d9c9f,2025-07-19,SP03,"389 Park Ave, Mumbai, Maharashtra 400001, India",TRK653082065,UPS,SHIPPED,103.791,KG
ae02d6dc-49f7-4c45-acb3-da9ec008544c,DL-0002,e129d681-d060-4cb8-a485-655b2e3c846d,2024-08-14,SP02,"52 Oak St, Boston, MA 02101, USA",TRK208026315,Maersk Shipping,DELIVERED,277.124,KG
5c43b73b-6156-4c08-b048-0c65523f7c98,DL-0003,9462baee-559e-416a-a8a0-bd3e6e83b43d,2024-03-17,SP02,"403 Market St, Houston, TX 77001, USA",TRK460900068,USPS,DELIVERED,451.981,KG
d4d92dd5-8805-48b0-baa8-61ce69fee3d8,DL-0004,59ad9832-3312-47c1-9474-884f7b656747,2024-04-06,SP02,"217 Station Rd, Houston, TX 77001, USA",TRK504155778,USPS,SHIPPED,366.88,KG
49efc671-497f-477a-a1df-e852c07e3cdf,DL-0005,b44c8608-efa8-4943-9808-9b00d365172f,2024-08-09,SP03,"614 Park Ave, Austin, TX 73301, USA",TRK631614997,UPS,PACKED,80.292,KG
98249f1e-44bb-4805-a29c-c5e42336fce1,DL-0006,58cf0256-e360-4b2c-8123-5a19ff2a09d4,2024-05-27,SP02,"747 Enterprise Ln, Seattle, WA 98101, USA",TRK825250629,Blue Dart,PICKED,391.861,KG
b6695a40-3b81-474a-8983-8b9fd2cacfba,DL-0007,4952e22e-7c4f-4076-bb3c-fc49aa6ff299,2024-12-04,SP03,"724 Park Ave, London, EC1A 1BB, UK",TRK496515029,Blue Dart,SHIPPED,123.059,KG
ea63a944-ff88-4158-8090-aec91edc3aba,DL-0008,65194fdf-6950-450c-a25f-54431fd6d1df,2024-03-26,SP01,"537 Enterprise Ln, Toronto, ON M5A 1A1, Canada",TRK259307460,DHL Express,PICKED,286.316,KG
5d214825-9e2e-47e3-a9ce-40c65190ff81,DL-0009,15b8677c-aff4-41ff-b7bb-2793092f3963,2024-06-13,SP02,"41 High St, London, EC1A 1BB, UK",TRK645602787,FedEx,SHIPPED,449.702,KG
114d94fd-24ee-496b-b02f-801f2803b9a8,DL-0010,89fbe077-de0c-4092-9ccf-983bc69d5ec3,2025-02-04,SP01,"68 Business Ave, San Francisco, CA 94105, USA",TRK751144332,Blue Dart,DELIVERED,291.241,KG
a7b51261-7f14-42b0-b949-dcc0819b7fe3,DL-0011,d6265e3b-14d7-4b36-afe3-194231ffc73f,2024-12-16,SP02,"747 Enterprise Ln, Seattle, WA 98101, USA",TRK613721388,UPS,SHIPPED,125.617,KG
d67f4a8e-981f-4b9b-bb3f-648797d5f4bd,DL-0012,1cea01f0-b4f5-4c09-bdf6-591ab1b9e163,2025-01-30,SP02,"614 Park Ave, Austin, TX 73301, USA",TRK656044104,USPS,DELIVERED,55.146,KG
dbfc85a0-dd45-4b6c-aefd-9409c947cb23,DL-0013,a3ec2c6e-1df8-4779-844e-842614bfaee8,2025-03-11,SP03,"474 King St, London, EC1A 1BB, UK",TRK844324144,Blue Dart,DELIVERED,92.926,KG
87ef3b52-695c-4ffd-8b2d-b45e378d9338,DL-0014,292bba97-99e0-49ca-b917-9b53af864c91,2025-02-27,SP02,"646 Station Rd, Berlin, 10115, Germany",TRK470687132,Blue Dart,PICKED,395.71,KG
d0a1a50a-9ed8-4ef9-847f-c27565251457,DL-0015,c6c7a9ce-91ab-40b1-abe5-ba3966e49900,2025-01-12,SP03,"946 River Rd, Boston, MA 02101, USA",TRK368116967,Maersk Shipping,DELIVERED,493.754,KG
6cf8da5c-bc4a-4d29-8bef-8cf5bcfb638e,DL-0016,d2370f3b-2c93-42e7-ae9a-30efb8bc31a5,2025-07-02,SP01,"316 River Rd, San Francisco, CA 94105, USA",TRK285844540,USPS,PACKED,148.97,KG
5a62b9a3-8036-4e18-8750-f5cfb02ede5b,DL-0017,e6065696-6484-4d6b-8b06-767d3ca689eb,2024-03-27,SP03,"389 Park Ave, Mumbai, Maharashtra 400001, India",TRK274227292,Blue Dart,DELIVERED,144.288,KG
470caa69-7d5d-48f8-9601-9eb93d4774a5,DL-0018,78a93fde-0ab3-4b34-b64c-5b08e277e02a,2024-11-04,SP03,"68 Business Ave, San Francisco, CA 94105, USA",TRK156000829,DHL Express,SHIPPED,157.508,KG
7582dafc-bdcc-4eaf-b4a3-f797052a1acb,DL-0019,ce64080d-a8be-44d8-a45d-bb12fedec6d8,2024-09-14,SP02,"951 King St, Bangalore, Karnataka 560001, India",TRK566904208,Maersk Shipping,SHIPPED,444.765,KG
9332b3b3-e212-4fef-b9ce-b1a33a3c4da6,DL-0020,44ab8f6c-15cf-471c-94c7-cd2af336201c,2025-03-28,SP03,"724 Park Ave, London, EC1A 1BB, UK",TRK874533633,Blue Dart,PACKED,63.193,KG
23771cf6-542c-47f0-9e70-6526be9f9615,DL-0021,eb8ae7cd-dee0-494b-be7c-10f1ca189b05,2025-02-06,SP01,"597 Business Ave, Los Angeles, CA 90001, USA",TRK913292965,DHL Express,SHIPPED,127.887,KG
