id,deliveryId,salesOrderItemId,itemNumber,materialId,deliveredQuantity,unitOfMeasure,batchNumber
ab1b1b5f-96ae-43dc-9a84-fc603b62ce38,b56f3ac3-49d2-43e1-9289-6ca7eff2a7f0,9dc3881d-c702-46e0-9392-01a7ba92b691,10,19d60529-c330-4086-a555-1df208027bf5,40.05,EA,BATCH-85023
74553cba-e9d0-4328-9ba9-c071750306b8,b56f3ac3-49d2-43e1-9289-6ca7eff2a7f0,7436a53e-8c29-42aa-bf5b-239c90b78d86,20,8212680e-288f-4a8e-8c15-7a6d69b07ed9,64.84,M,BATCH-81622
7c88a7d6-8ea2-4b39-83fc-591fc720355b,b56f3ac3-49d2-43e1-9289-6ca7eff2a7f0,1acaa66a-077a-402e-82f4-6bdd1ad5a824,30,b2e3333f-7123-4a91-8a57-9180e07b840b,83.25,EA,BATCH-94763
8f63afec-0967-4a2a-933c-cddf7c3bd123,ae02d6dc-49f7-4c45-acb3-da9ec008544c,85a04dfd-4483-4d80-a11a-0dcf6fd020f3,10,7bfcf829-7d62-4fc6-9c9c-fd9998125eae,56.88,EA,BATCH-65589
10eb682e-f299-4ae0-83e1-78f089dbe43c,5c43b73b-6156-4c08-b048-0c65523f7c98,9f8ba660-fad1-4a74-bce4-3999a732d84b,10,71f83dec-30ab-4261-95c1-9f924d4db3d6,57.24,EA,BATCH-50219
b3430997-9574-4da4-9b95-eaa88df9f816,5c43b73b-6156-4c08-b048-0c65523f7c98,1a8aaa0e-5b95-4cc9-ba81-aec3a7468a4b,20,88e1c06f-fae7-41b0-88e2-643a184a04b7,29.49,EA,BATCH-53530
043cc21e-85d2-41ab-8430-6e31b2681ca5,d4d92dd5-8805-48b0-baa8-61ce69fee3d8,9fe08007-d0cd-401d-b4ca-f9cc1e0c8c1c,10,fa2319d7-7450-4a94-8ca2-177998768fce,41.93,EA,BATCH-50912
e0b95547-4c71-4edb-989e-3d7a6059e415,49efc671-497f-477a-a1df-e852c07e3cdf,7472b762-cdef-4032-b45e-35894400b360,10,f9fd9f2b-bd7c-403d-9288-601ec002fdeb,51.85,EA,BATCH-58429
a45c40c3-2510-46b0-adf6-48e8c5f4447a,49efc671-497f-477a-a1df-e852c07e3cdf,d566fc44-5e5e-44d3-a3a5-bcb077f93815,20,ef19e1a6-fbf1-4f06-b051-90eaf1e64f9b,49,M,BATCH-84115
8673d030-00c9-4cc5-afb0-8b3a2b8c9932,98249f1e-44bb-4805-a29c-c5e42336fce1,f86046ef-6839-4715-a812-63eec425befe,10,72399bd0-959e-41dd-a677-1ec17f3af41d,18.18,EA,BATCH-31702
c0420173-a9e2-4388-8120-f4194bf3d24b,b6695a40-3b81-474a-8983-8b9fd2cacfba,9682e48c-69dd-42ae-a45c-b09885c3ac88,10,2d2943ca-b821-41dc-bace-076cf9cef22a,87.88,M,BATCH-65541
e4ac7ccd-1b5b-41b6-bda5-9e2a05e20f94,b6695a40-3b81-474a-8983-8b9fd2cacfba,f249955b-6c43-4e69-a2e0-1af8249a774a,20,9d03b734-5ff9-4578-98d6-66622cee846e,56.26,EA,BATCH-29628
be98e9b4-80de-4a36-be79-6ccef081f4ce,b6695a40-3b81-474a-8983-8b9fd2cacfba,f700b750-dfaa-4ef9-a0df-db24a5d368dc,30,45bfc536-a3fb-4051-aed1-77ba0c422b3c,73.77,EA,BATCH-79586
41705d13-2b64-4384-8ae2-4b7ad5fc1025,b6695a40-3b81-474a-8983-8b9fd2cacfba,0bc7045e-27ac-40d3-b107-50de01f2bf6b,40,cf6a321a-ae89-4ee5-9ff3-2e826e06e09c,91.47,EA,BATCH-42405
d4e4d6b7-609d-4720-8192-a4050b361fe6,ea63a944-ff88-4158-8090-aec91edc3aba,a572657f-94f7-456e-9de5-0f46951a3c99,10,f77d83ce-223c-49db-abe6-1ca3995e1d41,12.58,EA,BATCH-80486
95792b9c-5c36-4f0c-bdf4-b532484573ca,ea63a944-ff88-4158-8090-aec91edc3aba,0e920c96-83f6-4198-a451-809df879635f,20,eba730ba-f46f-4ecf-b893-63892637cf74,92.76,EA,BATCH-39025
f88da1a0-aa87-4cc5-a77a-850cde1ae7e9,ea63a944-ff88-4158-8090-aec91edc3aba,387bbf5f-4648-4ceb-a2b9-7c73741c650a,30,be1d466d-3f31-440e-b94d-6a8e92106328,22.59,EA,BATCH-67701
915faa3b-baa9-499f-ac14-865d70cef9c7,5d214825-9e2e-47e3-a9ce-40c65190ff81,588b2bdc-c748-46a8-ad67-d2a53eb9c521,10,5a80ee4f-c974-4014-942b-4f577beed7d8,30.85,M,BATCH-82010
67f487a4-7285-4154-9175-45f71471da6a,5d214825-9e2e-47e3-a9ce-40c65190ff81,3a575c2b-01cc-4a25-8337-8fe0784a5a28,20,05663a58-f417-4410-9919-81dc296bc9de,70.26,KG,BATCH-23343
d358f8f7-9db1-42fc-a04d-580ec572032f,114d94fd-24ee-496b-b02f-801f2803b9a8,2c53bf20-da52-4fc3-937a-e481e4df9984,10,4fdd4c9a-c47c-46d5-bd6c-e9855da59548,85.59,L,BATCH-20318
3f4aeed5-aa87-4d57-8592-749326d1dc8f,114d94fd-24ee-496b-b02f-801f2803b9a8,595f6b8e-1f9b-4416-a977-d284d3506183,20,398ff173-86e4-4b2f-a929-3221e8d239c6,84.62,EA,BATCH-62261
c321197a-8689-426a-ab66-d5178fe0cd18,114d94fd-24ee-496b-b02f-801f2803b9a8,48f37fb0-8beb-4940-9820-e14ca4513715,30,0129d1e5-34be-432f-8d26-2a86547037eb,26.34,KG,BATCH-49047
4ed87cdc-9df4-42d5-85fb-851ea1868e3c,114d94fd-24ee-496b-b02f-801f2803b9a8,f1786d3b-6d30-4c10-98c1-a943c18dbf18,40,7bfcf829-7d62-4fc6-9c9c-fd9998125eae,97.11,EA,BATCH-26073
83a6e93d-c776-4dc7-b393-c1418e21a772,a7b51261-7f14-42b0-b949-dcc0819b7fe3,3675cc68-3300-4712-8d23-95442f25d443,10,7d177d6b-d62f-41a7-8654-b52558463c23,72.9,EA,BATCH-36411
efd7bfbb-7222-4596-a5d4-65db986243fd,a7b51261-7f14-42b0-b949-dcc0819b7fe3,a43a63b3-b4c7-4ddb-a731-73e487d6b771,20,8f30334e-c4ed-4729-8217-39f3a5ecd019,34.92,EA,BATCH-34909
6a9eb50d-5220-48cd-b75f-aa9fff7f16a1,a7b51261-7f14-42b0-b949-dcc0819b7fe3,89dbe523-9659-4cbf-8187-41fc7a066f63,30,ce201345-9fac-4c1b-bf5d-7469a536e0d8,34.67,EA,BATCH-75176
56a0b867-c1c9-4c99-86dd-835de3c351b4,a7b51261-7f14-42b0-b949-dcc0819b7fe3,ffbb69f4-37a6-4c4d-b680-e06ed33422a7,40,6e455c06-71d3-4168-8af8-291022f89509,57.59,KG,BATCH-67087
