id,invoiceId,salesOrderItemId,deliveryItemId,materialId,itemNumber,quantity,unitPrice,netAmount,taxAmount,currency
47ea7d05-7ed4-4d66-bd33-72510228c3cd,aa413958-e571-4aff-9630-69729cb7bddb,9dc3881d-c702-46e0-9392-01a7ba92b691,ab1b1b5f-96ae-43dc-9a84-fc603b62ce38,19d60529-c330-4086-a555-1df208027bf5,10,40.05,656.57,26295.63,4733.21,USD
c31edc91-0e50-4cda-9fd0-b8c9f1fbfeda,aa413958-e571-4aff-9630-69729cb7bddb,7436a53e-8c29-42aa-bf5b-239c90b78d86,74553cba-e9d0-4328-9ba9-c071750306b8,8212680e-288f-4a8e-8c15-7a6d69b07ed9,20,64.84,1584.91,102765.56,18497.8,USD
2a7f62b5-fb9e-4a3e-a530-d30efef187ac,aa413958-e571-4aff-9630-69729cb7bddb,1acaa66a-077a-402e-82f4-6bdd1ad5a824,7c88a7d6-8ea2-4b39-83fc-591fc720355b,b2e3333f-7123-4a91-8a57-9180e07b840b,30,83.25,793.39,66049.72,11888.95,USD
169c290b-b20c-4bab-a57b-cbe35e2addf5,86056761-b2c8-4aec-bec7-140bb405b796,85a04dfd-4483-4d80-a11a-0dcf6fd020f3,8f63afec-0967-4a2a-933c-cddf7c3bd123,7bfcf829-7d62-4fc6-9c9c-fd9998125eae,10,56.88,1419.85,80761.07,14536.99,USD
898a387c-7000-444b-9794-09b11912fbd2,960ee502-26a0-4452-ae83-6e28f3bbdbea,9f8ba660-fad1-4a74-bce4-3999a732d84b,10eb682e-f299-4ae0-83e1-78f089dbe43c,71f83dec-30ab-4261-95c1-9f924d4db3d6,10,57.24,1141.57,65343.47,11761.82,USD
b1386d45-fab5-48c0-8daa-0471da99195f,960ee502-26a0-4452-ae83-6e28f3bbdbea,1a8aaa0e-5b95-4cc9-ba81-aec3a7468a4b,b3430997-9574-4da4-9b95-eaa88df9f816,88e1c06f-fae7-41b0-88e2-643a184a04b7,20,29.49,94.27,2780.02,500.4,USD
8e31cc1b-effa-4a57-93f4-378c489c10a4,d348c7ce-1c37-4f86-9a30-8c30a22e459e,9fe08007-d0cd-401d-b4ca-f9cc1e0c8c1c,043cc21e-85d2-41ab-8430-6e31b2681ca5,fa2319d7-7450-4a94-8ca2-177998768fce,10,41.93,1062.06,44532.18,8015.79,USD
31af76a4-5e2b-45d6-a8bd-79e19a28c8be,2283ecc8-a908-4ff1-8e62-171dfb899f3f,9682e48c-69dd-42ae-a45c-b09885c3ac88,c0420173-a9e2-4388-8120-f4194bf3d24b,2d2943ca-b821-41dc-bace-076cf9cef22a,10,87.88,1645.28,144587.21,26025.7,USD
bfa3ef08-03a0-4ca9-a68c-75343cc29384,2283ecc8-a908-4ff1-8e62-171dfb899f3f,f249955b-6c43-4e69-a2e0-1af8249a774a,e4ac7ccd-1b5b-41b6-bda5-9e2a05e20f94,9d03b734-5ff9-4578-98d6-66622cee846e,20,56.26,1489.29,83787.46,15081.74,USD
1199e144-b278-4869-9505-08765da0a0fd,2283ecc8-a908-4ff1-8e62-171dfb899f3f,f700b750-dfaa-4ef9-a0df-db24a5d368dc,be98e9b4-80de-4a36-be79-6ccef081f4ce,45bfc536-a3fb-4051-aed1-77ba0c422b3c,30,73.77,585,43155.45,7767.98,USD
dd1b4fdc-842b-4cf4-ba44-aaeae798afbb,2283ecc8-a908-4ff1-8e62-171dfb899f3f,0bc7045e-27ac-40d3-b107-50de01f2bf6b,41705d13-2b64-4384-8ae2-4b7ad5fc1025,cf6a321a-ae89-4ee5-9ff3-2e826e06e09c,40,91.47,1879.02,171873.96,30937.31,USD
28c1c06f-943c-47c5-ae5e-322a8ad7527a,53a7fec9-b24e-439b-8cb6-6154700cafb8,588b2bdc-c748-46a8-ad67-d2a53eb9c521,915faa3b-baa9-499f-ac14-865d70cef9c7,5a80ee4f-c974-4014-942b-4f577beed7d8,10,30.85,2141.1,66052.93,11889.53,USD
